iter	Passed	Remaining
0	30	30071
1	56	28374
2	82	27544
3	108	27025
4	135	26986
5	162	26985
6	189	26871
7	213	26439
8	239	26350
9	265	26289
10	288	25979
11	311	25639
12	337	25613
13	362	25539
14	389	25571
15	414	25502
16	440	25470
17	466	25469
18	493	25481
19	514	25227
20	540	25185
21	568	25270
22	595	25282
23	619	25201
24	644	25150
25	670	25130
26	698	25160
27	726	25228
28	751	25155
29	777	25137
30	802	25070
31	828	25049
32	855	25061
33	878	24971
34	905	24957
35	931	24931
36	955	24870
37	984	24917
38	1014	24993
39	1038	24934
40	1067	24968
41	1094	24954
42	1120	24929
43	1148	24961
44	1172	24893
45	1199	24870
46	1224	24837
47	1251	24819
48	1274	24744
49	1300	24707
50	1324	24647
51	1351	24644
52	1380	24671
53	1403	24590
54	1426	24505
55	1452	24477
56	1477	24448
57	1506	24462
58	1532	24441
59	1558	24410
60	1583	24378
61	1606	24306
62	1633	24302
63	1659	24274
64	1686	24263
65	1713	24246
66	1739	24228
67	1765	24194
68	1791	24173
69	1817	24146
70	1843	24122
71	1870	24104
72	1897	24090
73	1924	24076
74	1949	24047
75	1975	24015
76	1998	23951
77	2021	23898
78	2047	23870
79	2071	23820
80	2098	23811
81	2127	23814
82	2150	23755
83	2176	23729
84	2203	23715
85	2228	23688
86	2256	23675
87	2284	23674
88	2310	23646
89	2339	23656
90	2364	23619
91	2389	23582
92	2415	23554
93	2440	23523
94	2463	23467
95	2487	23426
96	2515	23416
97	2543	23409
98	2569	23387
99	2596	23368
100	2621	23331
101	2648	23313
102	2676	23307
103	2703	23289
104	2729	23265
105	2754	23234
106	2781	23213
107	2807	23188
108	2831	23148
109	2858	23124
110	2884	23098
111	2910	23077
112	2937	23057
113	2963	23032
114	2990	23011
115	3016	22984
116	3042	22964
117	3069	22940
118	3094	22912
119	3118	22872
120	3147	22863
121	3173	22842
122	3202	22833
123	3228	22808
124	3253	22772
125	3279	22746
126	3309	22750
127	3337	22734
128	3364	22716
129	3390	22687
130	3419	22685
131	3446	22661
132	3471	22631
133	3495	22592
134	3520	22559
135	3548	22544
136	3575	22520
137	3601	22493
138	3626	22463
139	3654	22447
140	3680	22423
141	3705	22390
142	3732	22367
143	3759	22345
144	3783	22309
145	3808	22277
146	3834	22252
147	3858	22213
148	3887	22204
149	3917	22200
150	3942	22167
151	3968	22137
152	3995	22119
153	4021	22091
154	4048	22068
155	4075	22049
156	4103	22034
157	4130	22010
158	4156	21985
159	4183	21961
160	4211	21945
161	4234	21906
162	4260	21878
163	4286	21849
164	4313	21829
165	4339	21799
166	4363	21766
167	4391	21747
168	4416	21718
169	4444	21698
170	4470	21673
171	4499	21661
172	4523	21625
173	4549	21598
174	4573	21563
175	4599	21536
176	4629	21523
177	4655	21498
178	4682	21475
179	4708	21449
180	4734	21422
181	4759	21390
182	4785	21364
183	4811	21338
184	4838	21316
185	4863	21285
186	4887	21248
187	4914	21225
188	4939	21195
189	4965	21169
190	4990	21139
191	5016	21111
192	5041	21081
193	5067	21052
194	5092	21022
195	5118	20996
196	5147	20981
197	5172	20950
198	5197	20921
199	5223	20894
200	5249	20867
201	5276	20843
202	5303	20820
203	5329	20793
204	5354	20766
205	5383	20748
206	5412	20733
207	5438	20707
208	5464	20680
209	5490	20654
210	5515	20623
211	5541	20597
212	5566	20567
213	5593	20545
214	5618	20515
215	5639	20471
216	5665	20441
217	5691	20415
218	5720	20399
219	5745	20371
220	5772	20348
221	5799	20322
222	5823	20292
223	5850	20266
224	5876	20239
225	5902	20213
226	5927	20185
227	5952	20155
228	5976	20122
229	6003	20098
230	6033	20084
231	6061	20064
232	6086	20036
233	6112	20009
234	6139	19985
235	6166	19961
236	6196	19949
237	6222	19922
238	6248	19896
239	6273	19866
240	6298	19834
241	6323	19807
242	6348	19777
243	6375	19752
244	6401	19727
245	6431	19714
246	6457	19685
247	6484	19661
248	6510	19636
249	6536	19610
250	6562	19583
251	6589	19559
252	6613	19526
253	6641	19505
254	6666	19476
255	6691	19446
256	6718	19423
257	6744	19396
258	6769	19368
259	6796	19342
260	6823	19320
261	6849	19293
262	6876	19270
263	6902	19243
264	6928	19216
265	6954	19191
266	6979	19162
267	7007	19140
268	7034	19115
269	7059	19087
270	7085	19060
271	7111	19034
272	7137	19007
273	7163	18980
274	7189	18954
275	7215	18928
276	7241	18901
277	7267	18874
278	7294	18850
279	7321	18826
280	7351	18809
281	7377	18783
282	7404	18759
283	7430	18732
284	7455	18703
285	7482	18680
286	7508	18653
287	7534	18625
288	7557	18592
289	7584	18569
290	7610	18543
291	7641	18528
292	7665	18496
293	7688	18462
294	7716	18442
295	7744	18419
296	7769	18390
297	7796	18365
298	7821	18337
299	7848	18312
300	7873	18283
301	7897	18252
302	7922	18224
303	7948	18198
304	7975	18172
305	8000	18144
306	8025	18116
307	8053	18094
308	8079	18067
309	8104	18039
310	8130	18013
311	8157	17987
312	8183	17962
313	8209	17935
314	8237	17913
315	8263	17885
316	8290	17861
317	8314	17832
318	8340	17805
319	8365	17776
320	8386	17740
321	8412	17713
322	8437	17684
323	8463	17658
324	8483	17620
325	8510	17594
326	8536	17569
327	8563	17544
