Scenario Group	Scenario	Train	Train samples/user	Test	Test samples/user	Notes	k=1	k=2	k=3	k=4	k=5	Best Model
Same platform, same topic	Scenario 1.1	[Pi, Vj, Sk] i={F}, j ={1}, k={1}	1	[Pi, Vj, Sk] i={F}, j ={1}, k={2}	1	train=61, test=61	0.8251	0.9126	0.9508	0.9781	0.9836	RandomForest
		[Pi, Vj, Sk] i={F}, j ={2}, k={1}	1	[Pi, Vj, Sk] i={F}, j ={2}, k={2}	1	train=61, test=61	0.8689	0.9727	0.9891	1.0000	1.0000	
		[Pi, Vj, Sk] i={F}, j ={3}, k={1}	1	[Pi, Vj, Sk] i={F}, j ={3}, k={2}	1	train=61, test=61	0.8634	0.9508	0.9672	0.9836	0.9891	
		[Pi, Vj, Sk] i={I}, j ={1}, k={1}	1	[Pi, Vj, Sk] i={I}, j ={1}, k={2}	1	train=61, test=61	0.8525	0.9290	0.9454	0.9727	0.9781	
		[Pi, Vj, Sk] i={I}, j ={2}, k={1}	1	[Pi, Vj, Sk] i={I}, j ={2}, k={2}	1	train=61, test=61	0.8470	0.9290	0.9727	0.9727	0.9781	
		[Pi, Vj, Sk] i={I}, j ={3}, k={1}	1	[Pi, Vj, Sk] i={I}, j ={3}, k={2}	1	train=61, test=61	0.8251	0.9454	0.9781	0.9781	0.9781	
		[Pi, Vj, Sk] i={T}, j ={1}, k={1}	1	[Pi, Vj, Sk] i={T}, j ={1}, k={2}	1	train=61, test=61	0.8470	0.9617	0.9781	0.9836	0.9945	
		[Pi, Vj, Sk] i={T}, j ={2}, k={1}	1	[Pi, Vj, Sk] i={T}, j ={2}, k={2}	1	train=61, test=61	0.8361	0.9344	0.9781	0.9781	0.9891	
		[Pi, Vj, Sk] i={T}, j ={3}, k={1}	1	[Pi, Vj, Sk] i={T}, j ={3}, k={2}	1	train=61, test=61	0.7923	0.9126	0.9563	0.9727	0.9836	
		mean					0.8397	0.9387	0.9684	0.9800	0.9860	
		std					0.0233	0.0208	0.0147	0.0086	0.0078	
												
Same platform, same topic	Scenario 1.2	[Pi, Vj, Sk] i={F}, j ={1}, k={2}	1	[Pi, Vj, Sk] i={F}, j ={1}, k={1}	1	train=61, test=61	0.8197	0.9290	0.9672	0.9672	0.9836	RandomForest
		[Pi, Vj, Sk] i={F}, j ={2}, k={2}	1	[Pi, Vj, Sk] i={F}, j ={2}, k={1}	1	train=61, test=61	0.8306	0.9454	0.9563	0.9781	0.9836	
		[Pi, Vj, Sk] i={F}, j ={3}, k={2}	1	[Pi, Vj, Sk] i={F}, j ={3}, k={1}	1	train=61, test=61	0.8689	0.9344	0.9672	0.9836	0.9891	
		[Pi, Vj, Sk] i={I}, j ={1}, k={2}	1	[Pi, Vj, Sk] i={I}, j ={1}, k={1}	1	train=61, test=61	0.7814	0.8798	0.9180	0.9508	0.9672	
		[Pi, Vj, Sk] i={I}, j ={2}, k={2}	1	[Pi, Vj, Sk] i={I}, j ={2}, k={1}	1	train=61, test=61	0.8962	0.9399	0.9617	0.9727	0.9836	
		[Pi, Vj, Sk] i={I}, j ={3}, k={2}	1	[Pi, Vj, Sk] i={I}, j ={3}, k={1}	1	train=61, test=61	0.8415	0.9071	0.9399	0.9454	0.9781	
		[Pi, Vj, Sk] i={T}, j ={1}, k={2}	1	[Pi, Vj, Sk] i={T}, j ={1}, k={1}	1	train=61, test=61	0.8579	0.9290	0.9563	0.9727	0.9836	
		[Pi, Vj, Sk] i={T}, j ={2}, k={2}	1	[Pi, Vj, Sk] i={T}, j ={2}, k={1}	1	train=61, test=61	0.8033	0.9071	0.9563	0.9781	0.9836	
		[Pi, Vj, Sk] i={T}, j ={3}, k={2}	1	[Pi, Vj, Sk] i={T}, j ={3}, k={1}	1	train=61, test=61	0.8197	0.9016	0.9399	0.9563	0.9617	
		mean					0.8355	0.9192	0.9514	0.9672	0.9794	
		std					0.0350	0.0215	0.0160	0.0134	0.0090	
												
Cross platform, same topic	Scenario 2.1	[Pi, Vj, Sk] i={F}, j ={1}, k={1}	1	[Pi, Vj, Sk] i={I}, j ={1}, k={2}	1	train=61, test=61	0.8361	0.9290	0.9727	0.9781	1.0000	RandomForest
		[Pi, Vj, Sk] i={F}, j ={2}, k={1}	1	[Pi, Vj, Sk] i={I}, j ={2}, k={2}	1	train=61, test=61	0.8415	0.9235	0.9454	0.9781	0.9836	
		[Pi, Vj, Sk] i={F}, j ={3}, k={1}	1	[Pi, Vj, Sk] i={I}, j ={3}, k={2}	1	train=61, test=61	0.8743	0.9672	0.9727	0.9781	0.9836	
		[Pi, Vj, Sk] i={F}, j ={1}, k={1}	1	[Pi, Vj, Sk] i={T}, j ={1}, k={2}	1	train=61, test=61	0.8852	0.9344	0.9727	0.9891	0.9891	
		[Pi, Vj, Sk] i={F}, j ={2}, k={1}	1	[Pi, Vj, Sk] i={T}, j ={2}, k={2}	1	train=61, test=61	0.7978	0.9071	0.9617	0.9836	0.9945	
		[Pi, Vj, Sk] i={F}, j ={3}, k={1}	1	[Pi, Vj, Sk] i={T}, j ={3}, k={2}	1	train=61, test=61	0.8743	0.9399	0.9617	0.9836	0.9945	
		[Pi, Vj, Sk] i={I}, j ={1}, k={1}	1	[Pi, Vj, Sk] i={T}, j ={1}, k={2}	1	train=61, test=61	0.9126	0.9672	0.9781	0.9891	0.9945	
		[Pi, Vj, Sk] i={I}, j ={2}, k={1}	1	[Pi, Vj, Sk] i={T}, j ={2}, k={2}	1	train=61, test=61	0.8033	0.8798	0.9399	0.9672	0.9781	
		[Pi, Vj, Sk] i={I}, j ={3}, k={1}	1	[Pi, Vj, Sk] i={T}, j ={3}, k={2}	1	train=61, test=61	0.8361	0.9235	0.9617	0.9781	0.9891	
		[Pi, Vj, Sk] i={I}, j ={1}, k={1}	1	[Pi, Vj, Sk] i={F}, j ={1}, k={2}	1	train=61, test=61	0.7978	0.8907	0.9563	0.9836	0.9945	
		[Pi, Vj, Sk] i={I}, j ={2}, k={1}	1	[Pi, Vj, Sk] i={F}, j ={2}, k={2}	1	train=61, test=61	0.8197	0.9016	0.9454	0.9727	0.9891	
		[Pi, Vj, Sk] i={I}, j ={3}, k={1}	1	[Pi, Vj, Sk] i={F}, j ={3}, k={2}	1	train=61, test=61	0.8361	0.9235	0.9508	0.9836	0.9891	
		[Pi, Vj, Sk] i={T}, j ={1}, k={1}	1	[Pi, Vj, Sk] i={F}, j ={1}, k={2}	1	train=61, test=61	0.8634	0.9290	0.9672	0.9781	0.9891	
		[Pi, Vj, Sk] i={T}, j ={2}, k={1}	1	[Pi, Vj, Sk] i={F}, j ={2}, k={2}	1	train=61, test=61	0.8798	0.9563	0.9672	0.9727	0.9781	
		[Pi, Vj, Sk] i={T}, j ={3}, k={1}	1	[Pi, Vj, Sk] i={F}, j ={3}, k={2}	1	train=61, test=61	0.8306	0.9235	0.9563	0.9891	0.9891	
		[Pi, Vj, Sk] i={T}, j ={1}, k={1}	1	[Pi, Vj, Sk] i={I}, j ={1}, k={2}	1	train=61, test=61	0.8251	0.9399	0.9781	0.9836	0.9945	
